neighbourhood_group	neighbourhood	1
Brooklyn	Kensington	1
Manhattan	Midtown	1
Manhattan	Harlem	1
Brooklyn	Clinton Hill	1
Manhattan	East Harlem	1
Manhattan	Murray Hill	1
Brooklyn	Bedford-Stuyvesant	1
Manhattan	Hell's Kitchen	1
Manhattan	Upper West Side	1
Manhattan	Chinatown	1
Manhattan	Upper West Side	1
Manhattan	Hell's Kitchen	1
 Legal rental"	9744	1
Manhattan	Upper West Side	1
Manhattan	West Village	1
Brooklyn	Williamsburg	1
Brooklyn	Fort Greene	1
Manhattan	Chelsea	1
Brooklyn	Crown Heights	1
Manhattan	East Harlem	1
Brooklyn	Williamsburg	1
Brooklyn	Park Slope	1
Brooklyn	Park Slope	1
Brooklyn	Park Slope	1
Nathalie	Brooklyn	1
Brooklyn	Windsor Terrace	1
Manhattan	Inwood	1
Manhattan	Hell's Kitchen	1
Shon	Manhattan	1
Manhattan	East Village	1
Manhattan	Harlem	1
Manhattan	Harlem	1
Brooklyn	Greenpoint	1
Manhattan	Harlem	1
Brooklyn	Bedford-Stuyvesant	1
Laurie	Brooklyn	1
Brooklyn	Bedford-Stuyvesant	1
Brooklyn	Bushwick	1
Brooklyn	Flatbush	1
Manhattan	Lower East Side	1
Manhattan	East Village	1
Brooklyn	South Slope	1
Brooklyn	Fort Greene	1
Manhattan	Upper West Side	1
Manhattan	Harlem	1
Brooklyn	Prospect-Lefferts Gardens	1
Orestes	Queens	1
Brooklyn	Bedford-Stuyvesant	1
Brooklyn	Bedford-Stuyvesant	1
Brooklyn	Fort Greene	1
Brooklyn	Bedford-Stuyvesant	1
Manhattan	Upper West Side	1
Brooklyn	Williamsburg	1
Brooklyn	Greenpoint	1
Manhattan	Kips Bay	1
Brooklyn	Williamsburg	1
Bianca	Manhattan	1
Manhattan	Hell's Kitchen	1
Brooklyn	Greenpoint	1
Manhattan	SoHo	1
Cristina	Brooklyn	1
Manhattan	Chelsea	1
Manhattan	Upper East Side	1
Brooklyn	Prospect Heights	1
Brooklyn	Clinton Hill	1
Manhattan	Hell's Kitchen	1
Brooklyn	Park Slope	1
Reka	Manhattan	1
Brooklyn	Williamsburg	1
Manhattan	East Village	1
Manhattan	East Harlem	1
Manhattan	East Village	1
Manhattan	Hell's Kitchen	1
Tye And Etienne	Manhattan	1
Brooklyn	Clinton Hill	1
Manhattan	East Village	1
